STATION_NAME,DATE,AVEMAX
COTTONWOOD WEIR UT US,19540401,68.9
COTTONWOOD WEIR UT US,19540501,77.2
COTTONWOOD WEIR UT US,19540601,80.4
COTTONWOOD WEIR UT US,19540701,96.1
COTTONWOOD WEIR UT US,19540801,91.4
COTTONWOOD WEIR UT US,19540901,83.1
COTTONWOOD WEIR UT US,19541001,70.3
COTTONWOOD WEIR UT US,19541101,59.2
COTTONWOOD WEIR UT US,19541201,42.6
COTTONWOOD WEIR UT US,19550101,35.6
COTTONWOOD WEIR UT US,19550201,39
COTTONWOOD WEIR UT US,19550301,50.5
COTTONWOOD WEIR UT US,19550401,61.3
COTTONWOOD WEIR UT US,19550501,72.9
COTTONWOOD WEIR UT US,19550601,81
COTTONWOOD WEIR UT US,19550701,93.2
COTTONWOOD WEIR UT US,19550801,93.2
COTTONWOOD WEIR UT US,19550901,83.3
COTTONWOOD WEIR UT US,19551001,70.9
COTTONWOOD WEIR UT US,19551101,51.1
COTTONWOOD WEIR UT US,19551201,47.8
COTTONWOOD WEIR UT US,19560101,48.4
COTTONWOOD WEIR UT US,19560201,40.5
COTTONWOOD WEIR UT US,19560301,58.1
COTTONWOOD WEIR UT US,19560401,64.4
COTTONWOOD WEIR UT US,19560501,74.7
COTTONWOOD WEIR UT US,19560601,89.4
COTTONWOOD WEIR UT US,19560701,95.4
COTTONWOOD WEIR UT US,19560801,91.9
COTTONWOOD WEIR UT US,19560901,88.2
COTTONWOOD WEIR UT US,19561001,69.8
COTTONWOOD WEIR UT US,19561101,48.6
COTTONWOOD WEIR UT US,19561201,42.1
COTTONWOOD WEIR UT US,19570101,39.4
COTTONWOOD WEIR UT US,19570201,53.8
COTTONWOOD WEIR UT US,19570301,56.1
COTTONWOOD WEIR UT US,19570401,60.4
COTTONWOOD WEIR UT US,19570501,71.4
COTTONWOOD WEIR UT US,19570601,85.5
COTTONWOOD WEIR UT US,19570701,94.6
COTTONWOOD WEIR UT US,19570801,93.6
COTTONWOOD WEIR UT US,19570901,84.6
COTTONWOOD WEIR UT US,19571001,68
COTTONWOOD WEIR UT US,19571101,46.6
COTTONWOOD WEIR UT US,19571201,45.7
COTTONWOOD WEIR UT US,19580101,40.6
COTTONWOOD WEIR UT US,19580201,52.9
COTTONWOOD WEIR UT US,19580301,49.1
COTTONWOOD WEIR UT US,19580401,59
COTTONWOOD WEIR UT US,19580501,81.5
COTTONWOOD WEIR UT US,19580601,89.1
COTTONWOOD WEIR UT US,19580701,95.2
COTTONWOOD WEIR UT US,19580801,95.2
COTTONWOOD WEIR UT US,19580901,83.3
COTTONWOOD WEIR UT US,19581001,74.3
COTTONWOOD WEIR UT US,19581101,51.8
COTTONWOOD WEIR UT US,19581201,46.8
COTTONWOOD WEIR UT US,19590101,45
COTTONWOOD WEIR UT US,19590201,46.4
COTTONWOOD WEIR UT US,19590301,54.5
COTTONWOOD WEIR UT US,19590401,65.8
COTTONWOOD WEIR UT US,19590501,69.4
